st_cd	year	lhpi_real	lpci_real
22	1978	4.56426	2.044216
22	1979	4.653462	2.042808
22	1980	4.60517	2.037186
22	1981	4.592491	2.06181
22	1982	4.577293	2.073024
22	1983	4.560377	2.081621
22	1984	4.512039	2.109289
22	1985	4.444187	2.109279
22	1986	4.429445	2.101674
22	1987	4.347997	2.082056
22	1988	4.247246	2.109676
22	1989	4.202459	2.125635
22	1990	4.161506	2.155127
22	1991	4.148214	2.165522
22	1992	4.168596	2.196896
22	1993	4.187809	2.206824
22	1994	4.224288	2.240159
22	1995	4.243153	2.248306
22	1996	4.26485	2.249621
22	1997	4.284801	2.266084
22	1998	4.321192	2.300128
22	1999	4.337908	2.296411
22	2000	4.339317	2.310257
22	2001	4.364144	2.354368
22	2002	4.386402	2.372348
22	2003	4.412552	2.386138
22	2004	4.439487	2.407084
22	2005	4.473025	2.435918
22	2006	4.544799	2.510423
22	2007	4.567131	2.55707
22	2008	4.536129	2.564369
22	2009	4.539531	2.544809
22	2010	4.509678	2.563174
22	2011	4.470347	2.559866
23	1975	4.596093	1.912843
23	1976	4.524915	1.961957
23	1977	4.632864	1.983447
23	1978	4.68004	2.017544
23	1979	4.718206	2.01498
23	1980	4.60517	2.008214
23	1981	4.593775	1.989343
23	1982	4.571009	2.019929
23	1983	4.580532	2.05187
23	1984	4.652079	2.106734
23	1985	4.718178	2.127204
23	1986	4.831943	2.16934
23	1987	4.952343	2.190771
23	1988	4.999396	2.212064
23	1989	4.988183	2.224849
23	1990	4.914761	2.202997
23	1991	4.842442	2.181851
23	1992	4.814969	2.204223
23	1993	4.783118	2.201907
23	1994	4.749629	2.230971
23	1995	4.735011	2.248881
23	1996	4.734997	2.268371
23	1997	4.727263	2.28116
23	1998	4.754635	2.320043
23	1999	4.787783	2.335022
23	2000	4.826276	2.346695
23	2001	4.877952	2.362275
23	2002	4.94665	2.381898
23	2003	4.997305	2.389584
23	2004	5.087583	2.413454
23	2005	5.162095	2.387487
23	2006	5.173825	2.40475
23	2007	5.170972	2.425496
23	2008	5.12352	2.435997
23	2009	5.090557	2.451346
23	2010	5.044024	2.455376
23	2011	4.999436	2.464443
24	1975	4.808525	2.464957
24	1976	4.791671	2.452978
24	1977	4.753698	2.416625
24	1978	4.757337	2.393137
24	1979	4.703764	2.317874
24	1980	4.60517	2.250028
24	1981	4.544665	2.200315
24	1982	4.472838	2.204137
24	1983	4.453164	2.244473
24	1984	4.453144	2.281846
24	1985	4.459791	2.31679
24	1986	4.510131	2.350832
24	1987	4.577751	2.35405
24	1988	4.64675	2.385805
24	1989	4.685668	2.376633
24	1990	4.66292	2.356679
24	1991	4.629416	2.341122
24	1992	4.613787	2.344386
24	1993	4.585413	2.335382
24	1994	4.5487	2.34093
24	1995	4.519316	2.334975
24	1996	4.50203	2.334296
24	1997	4.470201	2.323625
24	1998	4.486481	2.374724
24	1999	4.496231	2.399277
24	2000	4.517999	2.437937
24	2001	4.569899	2.459393
24	2002	4.645907	2.4812
24	2003	4.719673	2.49087
24	2004	4.8571	2.524649
24	2005	5.011338	2.521875
24	2006	5.095647	2.538414
24	2007	5.077193	2.539813
24	2008	4.960468	2.553302
24	2009	4.865603	2.536718
24	2010	4.802814	2.547289
24	2011	4.732545	2.544264
25	1975	4.553175	2.127778
25	1976	4.504873	2.128282
25	1977	4.502987	2.158024
25	1978	4.578635	2.204816
25	1979	4.627471	2.20487
25	1980	4.60517	2.199555
25	1981	4.621443	2.19026
25	1982	4.639607	2.255865
25	1983	4.699724	2.294914
25	1984	4.844534	2.367007
25	1985	5.022668	2.388447
25	1986	5.204517	2.42725
25	1987	5.300027	2.453311
25	1988	5.291625	2.493428
25	1989	5.238315	2.477326
25	1990	5.140508	2.45318
25	1991	5.041865	2.440679
25	1992	5.007208	2.465147
25	1993	4.981277	2.463931
25	1994	4.967139	2.494872
25	1995	4.964098	2.511579
25	1996	4.970273	2.5287
25	1997	4.985906	2.545424
25	1998	5.030969	2.578804
25	1999	5.105485	2.595883
25	2000	5.198184	2.628603
25	2001	5.270053	2.637712
25	2002	5.358963	2.661177
25	2003	5.413102	2.649554
25	2004	5.492046	2.671599
25	2005	5.548474	2.670195
25	2006	5.525939	2.711708
25	2007	5.475345	2.730509
25	2008	5.39101	2.749777
25	2009	5.354979	2.733731
25	2010	5.323574	2.745183
25	2011	5.282491	2.745101
26	1975	4.566984	2.180917
26	1976	4.550731	2.231187
26	1977	4.567145	2.269721
26	1978	4.647128	2.28873
26	1979	4.701435	2.259317
26	1980	4.60517	2.192882
26	1981	4.545002	2.174335
26	1982	4.437494	2.186965
26	1983	4.397429	2.218935
26	1984	4.372358	2.289148
26	1985	4.382721	2.325208
26	1986	4.448347	2.368025
26	1987	4.521546	2.361887
26	1988	4.557636	2.384185
26	1989	4.569409	2.395013
26	1990	4.569168	2.384796
26	1991	4.572608	2.378415
26	1992	4.586812	2.417938
26	1993	4.587106	2.424299
26	1994	4.605546	2.461386
26	1995	4.642583	2.460794
26	1996	4.692528	2.464151
26	1997	4.74121	2.47814
26	1998	4.779482	2.510438
26	1999	4.819148	2.519163
26	2000	4.853693	2.542081
26	2001	4.883624	2.545992
26	2002	4.90091	2.549427
26	2003	4.914444	2.57498
26	2004	4.937731	2.577765
26	2005	4.942641	2.563554
