msa_cd	year	lhpi_real	lpci_real
12100	1985	4.562191	2.643207
12100	1986	4.619829	2.662855
12100	1987	4.682055	2.664436
12100	1988	4.75216	2.691386
12100	1989	4.787715	2.662296
12100	1990	4.734328	2.613952
12100	1991	4.689369	2.543563
12100	1992	4.666929	2.571056
12100	1993	4.63784	2.568659
12100	1994	4.581781	2.553348
12100	1995	4.549433	2.597836
12100	1996	4.537039	2.627522
12100	1997	4.539629	2.642298
12100	1998	4.576455	2.65833
12100	1999	4.58102	2.645079
12100	2000	4.618958	2.662476
12100	2001	4.683075	2.648851
12100	2002	4.75628	2.6384
12100	2003	4.843749	2.630045
12100	2004	4.98562	2.625181
12100	2005	5.131975	2.619052
12100	2006	5.209614	2.61864
12100	2007	5.18444	2.630033
12100	2008	5.08651	2.618034
12100	2009	4.996628	2.576227
12100	2010	4.935589	2.583233
12100	2011	4.852907	2.591055
12220	1975	4.638649	1.841921
12220	1976	4.649161	1.923911
12220	1977	4.667324	1.980617
12220	1978	4.687305	2.018542
12220	1979	4.676389	1.997797
12220	1980	4.60517	1.988833
12220	1981	4.532481	1.949463
12220	1982	4.504393	1.931392
12220	1983	4.501872	1.992508
12220	1984	4.500386	2.045599
12220	1985	4.499267	2.057042
12220	1986	4.52214	2.063564
12220	1987	4.618878	2.094282
12220	1988	4.524882	2.114339
12220	1989	4.504737	2.160601
12220	1990	4.521638	2.145657
12220	1991	4.505624	2.149446
12220	1992	4.523043	2.194384
12220	1993	4.526185	2.190343
12220	1994	4.549911	2.217687
12220	1995	4.567477	2.227919
12220	1996	4.57194	2.213707
12220	1997	4.59306	2.228975
12220	1998	4.617006	2.256992
12220	1999	4.637083	2.271556
12220	2000	4.631355	2.271302
12220	2001	4.647533	2.26366
12220	2002	4.674228	2.282109
12220	2003	4.698126	2.302071
12220	2004	4.753025	2.345549
12220	2005	4.812039	2.349167
12220	2006	4.862565	2.376193
12220	2007	4.883356	2.387632
12220	2008	4.851038	2.41801
12220	2009	4.862761	2.392955
12220	2010	4.802217	2.409157
12220	2011	4.731031	2.41739
12260	1975	4.713761	1.987725
12260	1976	4.714398	2.055716
12260	1977	4.719207	2.077126
12260	1978	4.724145	2.0916
12260	1979	4.601045	2.09559
12260	1980	4.60517	2.051428
12260	1981	4.508702	2.048327
12260	1982	4.496044	2.088068
12260	1983	4.483988	2.115878
12260	1984	4.49882	2.197439
12260	1985	4.504773	2.232364
12260	1986	4.544258	2.259397
12260	1987	4.548398	2.249426
12260	1988	4.521058	2.280891
12260	1989	4.497128	2.320408
12260	1990	4.484857	2.344321
12260	1991	4.482419	2.33055
12260	1992	4.50174	2.346437
12260	1993	4.500525	2.338065
12260	1994	4.484718	2.347382
12260	1995	4.454286	2.34458
12260	1996	4.442427	2.354972
12260	1997	4.443008	2.372769
12260	1998	4.470784	2.412185
12260	1999	4.468246	2.424413
12260	2000	4.454528	2.442137
12260	2001	4.476312	2.454435
12260	2002	4.496191	2.472622
12260	2003	4.519581	2.484659
12260	2004	4.55795	2.504821
12260	2005	4.601116	2.518035
12260	2006	4.655759	2.528803
12260	2007	4.681997	2.541029
12260	2008	4.663609	2.551502
12260	2009	4.683171	2.561507
12260	2010	4.637997	2.573292
12260	2011	4.561771	2.587957
12420	1975	4.714759	2.167521
12420	1976	4.695423	2.198198
12420	1977	4.534754	2.207485
12420	1978	4.591444	2.26047
12420	1979	4.619181	2.229117
12420	1980	4.60517	2.229692
12420	1981	4.597795	2.270952
12420	1982	4.605964	2.291954
12420	1983	4.665132	2.350391
12420	1984	4.754708	2.432981
12420	1985	4.822429	2.463573
12420	1986	4.845595	2.473689
12420	1987	4.718291	2.448637
12420	1988	4.592528	2.465283
12420	1989	4.462865	2.477071
12420	1990	4.398754	2.501433
12420	1991	4.418659	2.492351
12420	1992	4.463508	2.514426
12420	1993	4.52466	2.532636
12420	1994	4.574342	2.553483
12420	1995	4.596157	2.595829
12420	1996	4.610703	2.629566
12420	1997	4.605214	2.683
12420	1998	4.639856	2.792202
12420	1999	4.703948	2.856459
12420	2000	4.788075	2.866177
12420	2001	4.846703	2.821185
12420	2002	4.859119	2.786277
12420	2003	4.840498	2.765297
12420	2004	4.815702	2.777236
12420	2005	4.82762	2.805896
12420	2006	4.877355	2.830447
12420	2007	4.945401	2.838172
12420	2008	4.952939	2.854169
12420	2009	4.944757	2.791533
12420	2010	4.915056	2.808831
12420	2011	4.87365	2.81462
12540	1975	4.30899	2.297235
12540	1976	4.330745	2.379691
12540	1977	4.616067	2.35931
12540	1978	4.651026	2.36967
12540	1979	4.677169	2.408907
12540	1980	4.60517	2.393065
12540	1981	4.585704	2.338835
12540	1982	4.576655	2.330924
12540	1983	4.583091	2.321004
12540	1984	4.554919	2.351651
12540	1985	4.528775	2.343063
12540	1986	4.524214	2.349833
12540	1987	4.483654	2.320663
12540	1988	4.445478	2.340069
12540	1989	4.429484	2.318856
12540	1990	4.451201	2.30372
12540	1991	4.47011	2.294582
12540	1992	4.464474	2.266698
12540	1993	4.434203	2.273831
12540	1994	4.377023	2.262501
12540	1995	4.334793	2.27588
12540	1996	4.308814	2.301245
12540	1997	4.283027	2.304368
12540	1998	4.310513	2.347181
12540	1999	4.289755	2.32989
12540	2000	4.279931	2.350451
12540	2001	4.321184	2.366859
12540	2002	4.379209	2.385159
12540	2003	4.481329	2.385454
12540	2004	4.68307	2.399757
12540	2005	4.913632	2.379442
12540	2006	5.022704	2.382988
12540	2007	4.945491	2.403797
12540	2008	4.630724	2.396408
12540	2009	4.44048	2.363431
12540	2010	4.349195	2.400742
12540	2011	4.233518	2.42762
12580	1975	4.743031	2.577579
12580	1976	4.833282	2.567631
12580	1977	4.787744	2.543308
12580	1978	4.783119	2.530619
12580	1979	4.710744	2.463236
12580	1980	4.60517	2.397804
12580	1981	4.554677	2.353225
12580	1982	4.473029	2.342156
12580	1983	4.467569	2.368032
12580	1984	4.470613	2.400949
12580	1985	4.477879	2.430092
12580	1986	4.532319	2.459596
12580	1987	4.597478	2.469593
12580	1988	4.646115	2.488551
12580	1989	4.661728	2.484372
12580	1990	4.642564	2.465981
12580	1991	4.614712	2.44344
